ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR001721;епымуло 1721;омола 1721;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;8.6
SR001721;епымуло 1721;омола 1721;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR001721;епымуло 1721;омола 1721;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001723;епымуло 1723;омола 1723;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001723;епымуло 1723;омола 1723;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;6.8
SR001723;епымуло 1723;омола 1723;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;6.5
SR001723;епымуло 1723;омола 1723;ICE1-8105;еужуг сустглата & сустглата упостгяингс апожасеым;P1-9150;еужуг сустглата & сустглата упостгяингс апожасеым;10
SR001724;епымуло 1724;омола 1724;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.8
SR001724;епымуло 1724;омола 1724;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.4
SR001726;епымуло 1726;омола 1726;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;0.3
SR001726;епымуло 1726;омола 1726;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;7.5
SR001727;епымуло 1727;омола 1727;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;4.3
SR001728;епымуло 1728;омола 1728;ICE1-1006;жусийг;P1-1060;жусийг;10
SR001728;епымуло 1728;омола 1728;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001729;епымуло 1729;омола 1729;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;1.8
SR001729;епымуло 1729;омола 1729;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;7.4
SR001729;епымуло 1729;омола 1729;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.1
SR001729;епымуло 1729;омола 1729;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR001729;епымуло 1729;омола 1729;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;10
SR001729;епымуло 1729;омола 1729;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.2
SR001729;епымуло 1729;омола 1729;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;7.5
SR001729;епымуло 1729;омола 1729;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;3.5
SR001729;епымуло 1729;омола 1729;ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас;7.5
SR001731;епымуло 1731;омола 1731;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001732;епымуло 1732;омола 1732;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR001732;епымуло 1732;омола 1732;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001732;епымуло 1732;омола 1732;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;6.1
SR001732;епымуло 1732;омола 1732;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001732;епымуло 1732;омола 1732;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;6.8
SR001732;епымуло 1732;омола 1732;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001733;епымуло 1733;омола 1733;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;6.8
SR001734;епымуло 1734;омола 1734;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001734;епымуло 1734;омола 1734;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;5.6
SR001735;епымуло 1735;омола 1735;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001735;епымуло 1735;омола 1735;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001735;епымуло 1735;омола 1735;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.1
SR001735;епымуло 1735;омола 1735;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001735;епымуло 1735;омола 1735;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001735;епымуло 1735;омола 1735;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR001735;епымуло 1735;омола 1735;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001737;епымуло 1737;омола 1737;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001738;епымуло 1738;омола 1738;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001738;епымуло 1738;омола 1738;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.6
SR001738;епымуло 1738;омола 1738;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;6.8
SR001739;епымуло 1739;омола 1739;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;3.5
SR001739;епымуло 1739;омола 1739;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR001739;епымуло 1739;омола 1739;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;0.3
SR001741;епымуло 1741;омола 1741;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR001741;епымуло 1741;омола 1741;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001741;епымуло 1741;омола 1741;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001741;епымуло 1741;омола 1741;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;7.5
SR001741;епымуло 1741;омола 1741;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001741;епымуло 1741;омола 1741;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;3.4
SR001744;епымуло 1744;омола 1744;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001744;епымуло 1744;омола 1744;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;10
SR001744;епымуло 1744;омола 1744;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR001745;епымуло 1745;омола 1745;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001745;епымуло 1745;омола 1745;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.6
SR001746;епымуло 1746;омола 1746;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;3.4
SR001750;епымуло 1750;омола 1750;ICE1-1006;жусийг;P1-1060;жусийг;1.1
SR001750;епымуло 1750;омола 1750;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.1
SR001750;епымуло 1750;омола 1750;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;7.5
SR001750;епымуло 1750;омола 1750;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;7.4
SR001750;епымуло 1750;омола 1750;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;6.8
SR001750;епымуло 1750;омола 1750;ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас;0.3
SR001753;епымуло 1753;омола 1753;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;0.3
SR001754;епымуло 1754;омола 1754;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;8.6
SR001756;епымуло 1756;омола 1756;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;6.8
SR001757;епымуло 1757;омола 1757;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001757;епымуло 1757;омола 1757;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0.3
SR001757;епымуло 1757;омола 1757;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;1.1
SR001757;епымуло 1757;омола 1757;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001757;епымуло 1757;омола 1757;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR001757;епымуло 1757;омола 1757;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR001757;епымуло 1757;омола 1757;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR001757;епымуло 1757;омола 1757;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001762;епымуло 1762;омола 1762;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001762;епымуло 1762;омола 1762;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR001762;епымуло 1762;омола 1762;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;10
SR001764;епымуло 1764;омола 1764;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001764;епымуло 1764;омола 1764;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;8.6
SR001765;епымуло 1765;омола 1765;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.8
SR001765;епымуло 1765;омола 1765;ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас;6.8
SR001765;епымуло 1765;омола 1765;ICE1-7112;поиотгта йаи аниопистиа коцислийоу;P1-9155;поиотгта йаи аниопистиа коцислийоу;6.8
SR001765;епымуло 1765;омола 1765;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;8.6
SR001765;епымуло 1765;омола 1765;ICE1-7404;дийаио йаи йубеямогхийг;P1-9025;дийаио йаи йубеямогхийг;1.1
SR001766;епымуло 1766;омола 1766;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;8.6
SR001766;епымуло 1766;омола 1766;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001767;епымуло 1767;омола 1767;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;10
SR001768;епымуло 1768;омола 1768;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001768;епымуло 1768;омола 1768;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;10
SR001768;епымуло 1768;омола 1768;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001768;епымуло 1768;омола 1768;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001768;епымуло 1768;омола 1768;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR001768;епымуло 1768;омола 1768;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;1.8
SR001768;епымуло 1768;омола 1768;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;3.4
SR001770;епымуло 1770;омола 1770;ICE1-1006;жусийг;P1-1060;жусийг;1.4
SR001770;епымуло 1770;омола 1770;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;10
SR001770;епымуло 1770;омола 1770;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.3
SR001770;епымуло 1770;омола 1770;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;9.4
SR001770;епымуло 1770;омола 1770;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;7.5
SR001770;епымуло 1770;омола 1770;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;7.5
SR001770;епымуло 1770;омола 1770;ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас;6.8
SR001770;епымуло 1770;омола 1770;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;7.5
SR001771;епымуло 1771;омола 1771;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001771;епымуло 1771;омола 1771;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001771;епымуло 1771;омола 1771;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR001772;епымуло 1772;омола 1772;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001772;епымуло 1772;омола 1772;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001772;епымуло 1772;омола 1772;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;10
SR001772;епымуло 1772;омола 1772;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001772;епымуло 1772;омола 1772;ICE1-1006;жусийг;P1-1060;жусийг;1.1
SR001772;епымуло 1772;омола 1772;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001772;епымуло 1772;омола 1772;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001774;епымуло 1774;омола 1774;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR001774;епымуло 1774;омола 1774;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR001774;епымуло 1774;омола 1774;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001774;епымуло 1774;омола 1774;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;8.6
SR001774;епымуло 1774;омола 1774;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR001774;епымуло 1774;омола 1774;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;5.6
SR001774;епымуло 1774;омола 1774;ICE1-8102;цяажийа упокоцистым;P1-9120;цяажийа упокоцистым;7.5
SR001774;епымуло 1774;омола 1774;ICE1-7108;епивеиягсиайг еяеума;P1-9140;епивеиягсиайг еяеума;10
SR001774;епымуло 1774;омола 1774;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;4.9
SR001775;епымуло 1775;омола 1775;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;5.1
SR001776;епымуло 1776;омола 1776;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001776;епымуло 1776;омола 1776;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.5
SR001776;епымуло 1776;омола 1776;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR001776;епымуло 1776;омола 1776;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR001776;епымуло 1776;омола 1776;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001776;епымуло 1776;омола 1776;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;0.3
SR001778;епымуло 1778;омола 1778;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001778;епымуло 1778;омола 1778;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001778;епымуло 1778;омола 1778;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.4
SR001778;епымуло 1778;омола 1778;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001778;епымуло 1778;омола 1778;ICE1-1006;жусийг;P1-1060;жусийг;10
SR001778;епымуло 1778;омола 1778;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001778;епымуло 1778;омола 1778;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR001778;епымуло 1778;омола 1778;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001778;епымуло 1778;омола 1778;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR001779;епымуло 1779;омола 1779;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;9.2
SR001779;епымуло 1779;омола 1779;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2
SR001779;епымуло 1779;омола 1779;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;1.1
SR001779;епымуло 1779;омола 1779;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.3
SR001779;епымуло 1779;омола 1779;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;3.4
SR001780;епымуло 1780;омола 1780;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001780;епымуло 1780;омола 1780;ICE1-1006;жусийг;P1-1060;жусийг;4.7
SR001780;епымуло 1780;омола 1780;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;0.3
SR001780;епымуло 1780;омола 1780;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;7.5
SR001780;епымуло 1780;омола 1780;ICE1-7402;ейпаидеутийг тевмокоциа & дидайтийг тгс пкгяожояийгс;P1-9030;ейпаидеутийг тевмокоциа & дидайтийг тгс пкгяожояийгс;7.5
SR001781;епымуло 1781;омола 1781;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001781;епымуло 1781;омола 1781;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR001781;епымуло 1781;омола 1781;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;4.2
SR001781;епымуло 1781;омола 1781;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001781;епымуло 1781;омола 1781;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.3
SR001781;епымуло 1781;омола 1781;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;8.6
SR001781;епымуло 1781;омола 1781;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;1.1
SR001784;епымуло 1784;омола 1784;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.5
SR001784;епымуло 1784;омола 1784;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;7.5
SR001784;епымуло 1784;омола 1784;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;1.1
SR001784;епымуло 1784;омола 1784;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.5
SR001786;епымуло 1786;омола 1786;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001786;епымуло 1786;омола 1786;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR001786;епымуло 1786;омола 1786;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001786;епымуло 1786;омола 1786;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;3.5
SR001786;епымуло 1786;омола 1786;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR001786;епымуло 1786;омола 1786;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.1
SR001786;епымуло 1786;омола 1786;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;0.3
SR001786;епымуло 1786;омола 1786;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;3.4
SR001786;епымуло 1786;омола 1786;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;4.2
SR001787;епымуло 1787;омола 1787;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR001787;епымуло 1787;омола 1787;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR001787;епымуло 1787;омола 1787;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;10
SR001787;епымуло 1787;омола 1787;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;3
SR001787;епымуло 1787;омола 1787;ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас;3.5
SR001789;епымуло 1789;омола 1789;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.1
SR001789;епымуло 1789;омола 1789;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001789;епымуло 1789;омола 1789;ICE1-1006;жусийг;P1-1060;жусийг;3.4
SR001789;епымуло 1789;омола 1789;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;0.3
SR001789;епымуло 1789;омола 1789;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR001789;епымуло 1789;омола 1789;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR001789;епымуло 1789;омола 1789;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;0.3
SR001789;епымуло 1789;омола 1789;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;1.8
SR001790;епымуло 1790;омола 1790;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR001790;епымуло 1790;омола 1790;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;6.8
SR001790;епымуло 1790;омола 1790;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;3.4
SR001790;епымуло 1790;омола 1790;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;1.1
SR001790;епымуло 1790;омола 1790;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;8.6
SR001790;епымуло 1790;омола 1790;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR001790;епымуло 1790;омола 1790;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.4
SR001792;епымуло 1792;омола 1792;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;4.2
SR001792;епымуло 1792;омола 1792;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;7.5
SR001796;епымуло 1796;омола 1796;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR001796;епымуло 1796;омола 1796;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;6.8
SR001796;епымуло 1796;омола 1796;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR001796;епымуло 1796;омола 1796;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;3.5
SR001796;епымуло 1796;омола 1796;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;9.4
SR001802;епымуло 1802;омола 1802;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR001802;епымуло 1802;омола 1802;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.3
SR001802;епымуло 1802;омола 1802;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;4.3
SR001802;епымуло 1802;омола 1802;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;9
SR001803;епымуло 1803;омола 1803;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;6.8
SR001803;епымуло 1803;омола 1803;ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас;8.6
SR001804;епымуло 1804;омола 1804;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;9.2
SR001805;епымуло 1805;омола 1805;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.7
SR001805;епымуло 1805;омола 1805;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;3.4
SR001805;епымуло 1805;омола 1805;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR001805;епымуло 1805;омола 1805;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.5
SR001805;епымуло 1805;омола 1805;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.1
SR001805;епымуло 1805;омола 1805;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;3.5
SR001805;епымуло 1805;омола 1805;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
